name,price,quality,sales
"
            Лосины спортивные 3328591772-37","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328591772-37","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3328591473-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328591473-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Лосины спортивные 3328597774-50","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328597774-50","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивная куртка 3328598484-50","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Спортивная куртка 3328598484-50","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Спортивные брюки 3328598780-50","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
"
            Спортивные брюки 3328598780-50","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
